ID,title,location,salary,description
68f37bab5cb9b4ea,연구소 개발부문 연구원 직원 (MCU 계측제어설계/머신비전/이미지프로세싱),경기도 광명,"연봉 42,000,000원 - 46,000,000원","프로그래밍 가능자 우대S/W 설계 부문 : - OPEN CV, TENSORFLOW, YOLO, CUDA/ Python, C++, C WindowsGUL APL, MFC Lib 활용 가능자. 머신비전/ 영상처리 개발자* 전기..."
92125931704a6cfe,Support Engineer,서울,,"developing with Chatbot, Linux, Apache, Java, Node, Python, PHP, or Ruby - Knowledge and experiences of cloud services (Azure..."
3ac1432a9c74c653,Field Application Engineer,경기도 용인,,"troubleshooting. Preferably to have coding capability (Matlab, Python...etc... data analysis, visualization, and algorithm..."
0cd67da9fe5b3529,(주)아크 응용프로그램개발(IOS앱개발&Windows외 1개 부문),전주 완산구,,"Android (Java or Kotlin), iOS 경험자 4. 서버 개발 경험자 (nodejs or python) 5. Slack 경험자 6. Notion 경험자 인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발|인터넷..."
29faa893f345e036,GEDP,경기도 성남,,using C programming language Scripting languages like Lua/ Python/JavaScript may also be used if needed Support connected...
89f3e10d77a126bf,Field Service Engineer,경기도 용인,,"troubleshooting. Preferably to have coding capability (Matlab, Python...etc... data analysis, visualization, and algorithm..."
be6c1f03fa566f8e,추천 시스템 연구/개발,성남 판교역,,"분야 석사 또는 박사 학위 소지자 적어도 하나 이상의 능숙한 프로그래밍 언어가 있으신 분 우대사항 Python, C++, GPU 프로그래밍 숙련자 TensorFlow, PyTorch, implicit 등 머신러닝/추천..."
07375dc4e800dfa9,추천 시스템 소프트웨어 엔지니어,성남 판교역,,"관련 업무 경험자 우대사항 운영체제, 네트워크, 컴파일러, 데이터베이스에 대한 이해가 깊으신 분 Python, C++, GPU 프로그래밍 숙련자 대용량/실시간 서비스 개발/운영 경험이 많으신 분 ICPC/TopCoder..."
aac8e9355cb855ac,[인재풀] 아티스트,서울,,Maya or 3D Max등의 아트웍 툴 사용 경험 Max script 또는 Mel Script의 사용 경험 C# 또는 Python 언어에 대한 이해 및 활용 능력 아트웍 관련 툴 제작 또는 플러그인 제작 경험
79304a56b5a6379b,Business Analyst,대한민국,,"engineering related research. • Broad working knowledge of Python, Excel (inc. automation skills), Relational DBs, SQL..."
9ee9e8034fa770a4,"스마트팩토리, 검사 자동화/검사AI 분야 경력사원",경기도 평택,,"C++,Labview, R, Python 등 ) - AI 관련학과 전공 및 검사공정 AI 경력 3년이상 보유자 (딥러닝 모델설계/학습/배포, 딥러닝 성능 개선 ) - Python 언어와 딥러닝 프레임워크 (Tensorflow..."
1e8d7931d406d58a,솔브레인 ICT부문,경기도 성남,,"로그래밍( Python, JAVA 등)에 대한 기초지식 필요 - 4년제 대졸이상 > 우대사항 - 디지털 솔루션 구축 / 운영 (RPA, AI 등) 가능자 - 응용 프로그램 설계 / 개발 / 운영 ( Python, JAVA..."
c6d7988f98427549,IT부분 신입 및 경력,서울 중구,,"및 운영 경험자 - Java 및 Python, Node.js(백엔드) 등... 게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신..."
34f22fafb415ec3c,Data Analyst,서울 영등포구,,"가지신 분 Business Intelligence 시스템 및 비즈니스 리포팅 툴의 활용 능력 프로그래밍 언어( Python/R, etc)를 활용하여 데이터 분석이 가능하신 분 더 나은 데이터 기반 서비스를 만들기 위해 동료들과..."
44f16e94e3e6b589,"Staff Software Engineer, Maps & Navigation, Seoul, Korea",서울,,"industry Fluency in English Proficient in one of C++, Python Experience writing and shipping customer-facing code High..."
f6880357422fc8ad,Graduate Energy Storage Engineer,대한민국,,"Homer Grid, DigSilent PowerFactory, PSS®E, MATLAB/Simulink, Python. Self-motivated with an aspiration to develop a successful..."
8d6d0801168d713e,대기업 Data Scientist 데이터 분석가 경력직 (판교),성남 분당구,"연봉 60,000,000원 - 70,000,000원","Reduce, Hadoop, Spark, Gurobi 등) 경험- Python, Pytorch 등 딥러닝 프레임워크 이해 및 개발 경험 [우대사항... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
3b0b25d7cdb97839,TikTok Content Strategy Manager,서울,,"skills in data analysis, being familiar with SQL, Python and other data processing tools is preferred. 3. Strong logical mind..."
7b2496c8a71f02f2,광고데이터플랫폼 개발자 모집,성남 판교역,,"무와 데이터 파이프라인 시스템 설계/구축/관리 업무를 수행하게 됩니다. 지원자격 개발 경력 3년 이상 Python, Java, Kotlin, Scala 중 하나 이상의 언어에 능통 SQL 또는 HiveQL에 능통 대용량..."
a98eb9cf76d8f726,"웹프로그래머/Python/SQL DB/WebRTC/CSS,PHP etc 신입/경력 정규직",수원 영통구,,"연구빅데이터분석 및 AI개발 Python , WebRTC 프로그램개발현장... 및 AI개발, Python / WebRTC프로그램개발[우대사항]전공계열: 공학계열자격증: Python, Python 교육이수자, 빅데이터, 스마트공장..."
27055e84f80bafd2,AI개발자,서울 강남구,"연봉 35,000,000원 - 40,000,000원",인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>인공지능(AI)서비스기획|인터넷·IT·통신·모바일...
c1cfb50233a6c657,(주)쎄미시스코 소프트웨어 및 머신러닝 개발자 신입/경력,수원 권선구,,"기술 보유자 - 영상처리 기술 보유자 - 프로그래밍 능숙자 (C++, Python, Tensorflow, Mxnet 등) 인터넷·IT·통신·모바일... 통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임..."
2ba9d984a21e03b1,[전문연구요원] R&D 부문 개발자 병역특례,서울 금천구,,"Data Analysis (R, SQL 등의 활용 능력 우대)3) Python Application 관련 개발 업무 (코딩 또는 문제해결) 4) ML... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
9adbc290202846e1,[아이브릭스] 기업부설연구소 전문연구요원,성남 분당구,,모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>자바스크립트|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
faf40c2fe865ee5a,데이터분석 전문인력 채용,서산 대산읍,,1:1 문의하기 응시 자격 1) 수학/통계학 관련 전공 석사학위 이상 2) 해당 업무 보유경력 5년 미만 3) Python 또는 R 등 분석언어 사용 가능 4) 비즈니스 문제해결 역량 보유 (Data gathering...
8d42055a8ac834f6,인공지능(AI) 딥러닝 연구 개발자,서울 마포구,"연봉 30,000,000원 - 35,000,000원","초지식 및 경험자3. Python 및 Tensorflow, Pytorch, linux 사용 경험자4. Numpy, Pandas, librosa, ffmpeg, Dlib, OpenCV (for Python) 관련 경험 존재 5..."
c8f4783faff92438,[㈜삼표]Digital Innovation부문 모집,서울 수송동,,"개발 [] ㆍ대졸 / 컴퓨터공학 석사 ㆍ오픈소스 머신러닝/딥러닝 빅데이터 분석 소프트웨어 지식보유자 ㆍ Python, Delphi 등 프로그래밍 언어 사용 가능자 ㆍMSSQL, MYSQL 등 관계형 Database 사용가..."
41096fb3c2ba02dc,ETF전략운용팀/상품관리팀/ESG경영기획팀,대한민국,,"유경험자 우대 - 자산운용사 및 증권사 ETF 관련업무 유경험자 우대 - 프로그래밍 가능 인력(SQL, Python) 우대 2) 상품관리팀, ESG경영기획팀 및 공통 - MS Office 능통자 우대 - 외국어능력 우수자..."
a0bc80a2fcbbc8a3,시스템 개발 신입사원 모집,대한민국,,"이며, 적극적인 사고방식을 갖고 계신 분 · java, spring framework, javascript, python 개발역량을 보유하신 분 · RDBMS(Sybase, PostgreSQL, Oracle 등) 관련 지식을..."
069eb8ccfb874d6f,[연계 무료교육] 미라콤 협력회사 연계 IT 아카데미,서울 강남구,,게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JSP|인터넷·IT·통신... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
a10596f04f50cff4,(주)아이옵스 항공우주분야,대전 유성구,,궤도역학[우대사항]ㆍ정보처리기사 등 관련 자격증 소지자 ㆍ인공위성 궤도분석 및 비행역학 유경험자ㆍC/C++/ Python 활용 가능자ㆍ영어 가능자 0 명 근무조건 고용형태 : 정규직(수습기간3개월)급여조건 : 급여 협의근무지역...
0678ac52e4aa4f11,2021년 하반기 정보보안 엔지니어 - 취약점 파트,서울 금천구,,"10에 대한 설명과 구현/조치 가능 - 국내 컴플라이언스 대응 경험 (주요정보통신기반시설 가이드 등) - Python 활용자 - Kali 및 Metasploit 경험자- 군필자, 경력자, 관련 학과 졸업자 우대 * 자격요건과..."
466547f7a5577282,자유롭게 소통하며 함께 일할 IT/SW 개발팀 정규직,경상북도 경산,,"AWS, 네이버 클라우드 등)을 활용한 설계, 개발, 운용 경험 - Python을 이용한 데이터 처리 및 AI 개발 경험 - OpenCV를 이용한... 용한 설계, 개발, 운용 경험- Python을 이용한 데이터 처리 및 AI..."
a412d2ba7044dfb3,[취업연계/무료교육] 스마트자동화 전문가 양성과정 교육생,서울,,게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임... 응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|전자·기계·기술...
510ef436177b9ed9,[유연근무] 유전체 빅데이터 사이언티스트 및 의료영상 빅데이터 엔지니어,대한민국,,"연령 : 무관 - 빅데이터, 인공지능 기반 연구수행 능력 - Python, R 프로그래밍 언어 - 연구과제 기획서, 보고서 및 관련 논문 작성... 지능 기반 연구수행 능력 - Python, R 프로그래밍 언어 - 연구..."
3d4fe04d0d70305e,Expat: Experimental Physicist / Engineer for Electron Optics...,경기도 화성,,Experience in using office programs and Unix (Linux) Python and Jira experience is preferred. Deliberate and organized work...
